ilall;2;EUR;AFN;
flat1;0;EUR;AFN;
hotel2;521;EUR;EUR;
hotel4;993;EUR;EUR;
hotel3;716;EUR;EUR;
hotel3;4;EUR;ALL;
hotel1;7;EUR;ALL;
villa0;4;EUR;ALL;
hotel0;2;EUR;DZD;
hotel8;5;EUR;DZD;
flat1;1;EUR;AOA;
villa2;190;EUR;XCD;
villa1;718;EUR;GBP;
flat7;1025;EUR;GBP;
hotel0;111;EUR;XCD;
villa3;0;EUR;AMD;
flat8;442;EUR;AUD;
hotel4;47;EUR;AUD;
flat5;649;EUR;EUR;
villa3;401;EUR;AZN;
villa4;2107;EUR;BHD;
flat7;324;EUR;BHD;
flat6;3;EUR;BDT;
flat7;189;EUR;BYN;
hotel3;0;EUR;BYR;
flat3;0;EUR;BYR;
hotel5;955;EUR;EUR;
villa7;407;EUR;EUR;
flat2;1;EUR;XOF;
villa3;595;EUR;BMD;
flat2;316;EUR;BMD;
hotel2;538;EUR;BMD;
hotel4;6;EUR;INR;
flat3;0;EUR;INR;
flat3;10;EUR;INR;
villa4;13;EUR;BOB;
flat7;238;EUR;BAM;
villa6;56;EUR;BWP;
villa2;33;EUR;BWP;
villa1;98;EUR;BRL;
flat7;128;EUR;BRL;
flat8;341;EUR;USD;
hotel6;845;EUR;USD;
villa8;512;EUR;USD;
villa1;405;EUR;BND;
hotel1;356;EUR;SGD;
villa3;59;EUR;BGN;
flat1;1;EUR;XOF;
flat1;0;EUR;XOF;
villa3;0;EUR;BIF;
hotel8;0;EUR;KHR;
hotel1;0;EUR;XAF;
villa3;261;EUR;CAD;
villa7;8;EUR;CVE;
villa5;1;EUR;XAF;
flat1;0;EUR;XAF;
flat8;0;EUR;CLP;
flat5;0;EUR;CLP;
hotel3;345;EUR;AUD;
hotel7;1;EUR;XAF;
hotel0;0;EUR;CDF;
villa6;0;EUR;CDF;
villa6;513;EUR;NZD;
villa8;48;EUR;HRK;
flat1;19;EUR;HRK;
villa0;27;EUR;HRK;
flat4;759;EUR;CUC;
flat5;192;EUR;CUC;
hotel5;25;EUR;CUP;
villa0;26;EUR;CUP;
hotel6;61;EUR;ANG;
villa0;100;EUR;ANG;
villa1;499;EUR;EUR;
villa4;136;EUR;EUR;
villa0;15;EUR;CZK;
villa2;22;EUR;CZK;
hotel5;30;EUR;CZK;
flat5;3;EUR;DJF;
villa2;4;EUR;DJF;
villa6;143;EUR;XCD;
flat6;0;EUR;DOP;
villa3;1;EUR;DOP;
flat6;594;EUR;USD;
flat1;6;EUR;EGP;
villa4;26;EUR;EGP;
villa2;44;EUR;EGP;
villa4;748;EUR;USD;
villa4;12;EUR;ETB;
flat1;54;EUR;DKK;
flat8;973;(none);unableToConvert;
flat6;62;EUR;EUR;
villa8;923;EUR;EUR;
hotel5;549;EUR;EUR;
flat1;133;EUR;EUR;
villa3;6;EUR;XPF;
hotel5;0;EUR;XAF;
flat4;1;EUR;GMD;
hotel2;227;EUR;EUR;
flat1;31;EUR;GHS;
villa7;334;EUR;EUR;
hotel7;41;EUR;DKK;
hotel5;122;EUR;DKK;
hotel6;788;EUR;GBP;
villa1;830;(none);unableToConvert;
flat1;138;(none);unableToConvert;
flat5;0;EUR;GNF;
villa3;0;EUR;GNF;
villa4;0;EUR;XOF;
hotel8;1;EUR;XOF;
flat2;634;EUR;EUR;
flat1;6;EUR;HKD;
villa4;5;EUR;ISK;
flat2;3;EUR;ISK;
villa6;12;EUR;INR;
flat3;0;EUR;IDR;
villa0;774;IMP[G];unableToConvert;
villa8;63;EUR;ILS;
villa7;0;EUR;JMD;
hotel5;0;EUR;JPY;
flat0;4;EUR;JPY;
villa2;5;JEP[G];unableToConvert;
hotel5;805;JEP[G];unableToConvert;
hotel0;717;EUR;KWD;
villa0;433;EUR;KWD;
villa4;0;EUR;LAK;
hotel5;0;EUR;LBP;
villa1;46;EUR;LSL;
villa6;1;EUR;ZAR;
hotel6;5;EUR;LRD;
flat6;74;EUR;LYD;
hotel2;477;EUR;LYD;
hotel6;545;EUR;EUR;
hotel3;559;EUR;EUR;
villa2;0;EUR;MGA;
hotel3;0;EUR;MWK;
flat5;1;EUR;MWK;
flat2;1;EUR;XOF;
hotel2;506;EUR;EUR;
flat6;901;EUR;EUR;
villa8;1;EUR;MRO;
villa6;307;EUR;EUR;
flat0;558;EUR;EUR;
flat4;12;EUR;MXN;
flat7;268;EUR;USD;
villa4;412;EUR;USD;
hotel8;666;EUR;USD;
villa8;43;EUR;MDL;
hotel2;675;EUR;EUR;
villa1;0;EUR;MNT;
flat6;155;EUR;EUR;
villa4;276;EUR;XCD;
villa3;10;EUR;MZN;
flat7;0;EUR;MMK;
flat3;0;EUR;MMK;
villa3;15;EUR;ZAR;
hotel5;819;(none);unableToConvert;
villa5;6;EUR;NPR;
villa5;677;EUR;EUR;
hotel1;8;EUR;XPF;
hotel8;0;EUR;XPF;
hotel8;80;EUR;NZD;
villa2;279;EUR;NZD;
villa5;1;EUR;XOF;
villa3;1;EUR;NGN;
flat4;603;(none);unableToConvert;
flat2;0;EUR;KPW;
villa4;0;EUR;KPW;
villa5;756;EUR;USD;
flat6;0;EUR;USD;
flat6;68;EUR;NOK;
villa5;2185;EUR;OMR;
hotel1;2;EUR;PKR;
hotel8;5;EUR;PKR;
flat6;924;(none);unableToConvert;
flat1;821;EUR;USD;
hotel7;524;EUR;USD;
hotel4;685;EUR;PAB;
hotel5;49;EUR;PAB;
villa3;827;EUR;PAB;
villa8;6;EUR;USD;
flat3;0;EUR;PYG;
villa8;0;EUR;PYG;
flat0;110;EUR;PEN;
hotel7;5;EUR;PHP;
flat4;333;EUR;NZD;
flat4;234;EUR;NZD;
flat0;368;;unableToConvert;
flat1;695;;unableToConvert;
hotel6;994;;unableToConvert;
hotel1;209;EUR;EUR;
villa0;614;EUR;USD;
hotel1;199;EUR;QAR;
flat6;126;EUR;QAR;
hotel1;129;EUR;EUR;
hotel6;222;EUR;EUR;
villa8;318;EUR;EUR;
flat6;158;EUR;RON;
villa5;8;EUR;RUB;
hotel1;1;EUR;RUB;
flat2;0;EUR;RWF;
hotel5;0;EUR;RWF;
villa6;842;EUR;EUR;
hotel0;697;EUR;SHP;
villa5;106;EUR;XCD;
villa8;202;EUR;XCD;
villa4;20;EUR;XCD;
villa3;596;EUR;EUR;
hotel4;405;EUR;EUR;
flat0;99;EUR;WST;
villa2;86;EUR;EUR;
flat5;0;EUR;STD;
villa0;22;EUR;SCR;
flat3;13;EUR;SCR;
villa4;0;EUR;SLL;
hotel4;0;EUR;SLL;
flat8;242;EUR;BND;
villa7;327;EUR;SGD;
flat7;663;EUR;EUR;
villa2;433;EUR;EUR;
villa2;502;EUR;EUR;
hotel2;0;EUR;SOS;
flat5;1053;EUR;GBP;
villa8;115;EUR;GBP;
villa5;0;EUR;KRW;
hotel7;0;EUR;KRW;
hotel8;862;SSP;unableToConvert;
hotel7;5;EUR;LKR;
villa6;4;EUR;LKR;
villa2;3;EUR;LKR;
flat6;39;EUR;SDG;
hotel6;30;EUR;NOK;
flat3;17;EUR;NOK;
hotel8;44;EUR;NOK;
hotel7;47;EUR;SZL;
flat5;49;EUR;SZL;
flat5;88;EUR;SEK;
hotel3;111;EUR;CHF;
hotel3;148;EUR;CHF;
villa0;1;EUR;SYP;
flat0;0;EUR;SYP;
villa0;17;EUR;TWD;
hotel2;19;EUR;TWD;
hotel8;696;EUR;USD;
